job_title,company,location,job_type,category,salary_min,salary_max,experience_required,publication_date,skills,education_level,company_size,benefits
Technical Lead,DigitalWorks,"Seattle, WA",Part-time,Technology,109758,190478,7.0,11/27/2025,"SQL, TensorFlow, Node.js, Git, AWS",Unspecified,201-500 employees,"Health Insurance, 401(k), Unlimited PTO"
Frontend Developer,DataInc,"New York, NY",Part-time,Technology,107507,192555,2.0,11/27/2025,"TypeScript, JavaScript, SQL, Machine Learning, Docker",Master's Degree,51-200 employees,"Health Insurance, 401(k), Unlimited PTO"
Product Manager,DataInc,"Chicago, IL",Contract,Technology,105801,193211,3.0,11/27/2025,"Java, Ruby, Agile, AWS",Unspecified,1000+ employees,"Stock Options, Remote Work Stipend"
Solutions Architect,EnterpriseHub,"London, UK",Remote,Technology,109002,189999,4.0,11/27/2025,"AWS, Go, JavaScript, Docker, Machine Learning",Master's Degree,51-200 employees,"Dental, Vision, Annual Bonus"
Software Engineer,DataInc,"San Francisco, CA",Part-time,Technology,104788,193973,5.0,11/27/2025,"AWS, TypeScript, MongoDB, React, Ruby, SQL, CI/CD",Associate Degree,201-500 employees,"Health Insurance, 401(k), Unlimited PTO"
Backend Developer,InnovateLab,"San Francisco, CA",Contract,Technology,103684,194848,2.0,11/27/2025,"Kubernetes, Docker, Java, TensorFlow, Python, SQL, Git",Associate Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO"
Senior Software Engineer,CodeFactory,"Boston, MA",Full-time,Technology,102659,195385,5.0,11/27/2025,"React, REST APIs, CI/CD, Java, SQL, AWS",Unspecified,201-500 employees,"Dental, Vision, Annual Bonus"
QA Engineer,DataInc,"New York, NY",Remote,Technology,111455,186282,4.0,11/27/2025,"JavaScript, React, Git, Docker, AWS, Ruby, TypeScript",PhD,201-500 employees,"Stock Options, Remote Work Stipend"
Project Manager,CodeFactory,"Austin, TX",Full-time,Technology,103468,194130,2.0,11/27/2025,"TypeScript, Git, JavaScript, React, Kubernetes, AWS, Node.js",Bachelor's Degree,51-200 employees,"Stock Options, Remote Work Stipend"
Product Manager,InnovateLab,"Chicago, IL",Remote,Technology,106148,190939,4.0,11/27/2025,"JavaScript, Go, CI/CD, Machine Learning",PhD,201-500 employees,"Dental, Vision, Annual Bonus"
Backend Developer,CodeFactory,"London, UK",Remote,Technology,111149,185900,4.0,11/27/2025,"Java, Docker, AWS, Go, Git, TypeScript, Node.js",Master's Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO"
Senior Software Engineer,TechCorp,"Denver, CO",Part-time,Technology,104733,192020,8.0,11/27/2025,"Machine Learning, Docker, Java, Agile, React, SQL",Master's Degree,1000+ employees,"Stock Options, Remote Work Stipend"
Project Manager,DigitalWorks,"Denver, CO",Full-time,Technology,109605,185719,2.0,11/27/2025,"JavaScript, Go, Ruby, Git, TensorFlow, REST APIs",Unspecified,51-200 employees,"Stock Options, Remote Work Stipend"
Project Manager,CodeFactory,Remote,Part-time,Technology,106406,188827,4.0,11/27/2025,"Agile, SQL, TensorFlow, Machine Learning",Master's Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO"
Software Engineer,EnterpriseHub,"San Francisco, CA",Remote,Technology,113693,181173,2.0,11/27/2025,"Node.js, TensorFlow, CI/CD, REST APIs",Unspecified,51-200 employees,"Dental, Vision, Annual Bonus"
Machine Learning Engineer,WebDynamics,"New York, NY",Contract,Technology,103982,190665,5.0,11/27/2025,"CI/CD, Go, REST APIs, TypeScript, Node.js",Associate Degree,1-50 employees,"Dental, Vision, Annual Bonus"
Project Manager,CloudSystems,Remote,Full-time,Technology,99351,194988,2.0,11/27/2025,"Machine Learning, AWS, Kubernetes, Docker, SQL, Ruby",Associate Degree,201-500 employees,"Dental, Vision, Annual Bonus"
Senior Data Scientist,DataInc,"Atlanta, GA",Full-time,Technology,110033,184236,9.0,11/27/2025,"JavaScript, Git, SQL, Kubernetes",Associate Degree,1000+ employees,"Dental, Vision, Annual Bonus"
DevOps Engineer,DigitalWorks,"San Francisco, CA",Remote,Technology,112214,181264,3.0,11/27/2025,"Python, REST APIs, Go, Java",PhD,1-50 employees,"Stock Options, Remote Work Stipend"
Frontend Developer,TechCorp,"New York, NY",Remote,Technology,97145,196212,3.0,11/27/2025,"Java, Ruby, Node.js",PhD,501-1000 employees,"Dental, Vision, Annual Bonus"
Machine Learning Engineer,DataInc,"New York, NY",Remote,Technology,106755,186095,2.0,11/27/2025,"Agile, REST APIs, AWS, Git, Machine Learning, CI/CD",Unspecified,1000+ employees,"Health Insurance, 401(k), Unlimited PTO"
Backend Developer,StartupXYZ,"London, UK",Remote,Technology,103022,188756,4.0,11/27/2025,"Java, REST APIs, Python, JavaScript",PhD,501-1000 employees,"Stock Options, Remote Work Stipend"
Data Scientist,DataInc,"Seattle, WA",Full-time,Technology,104474,187248,3.0,11/27/2025,"AWS, SQL, Agile, Ruby, Git, JavaScript",Unspecified,501-1000 employees,"Health Insurance, 401(k), Unlimited PTO"
DevOps Engineer,DigitalWorks,"San Francisco, CA",Part-time,Technology,103733,186360,3.0,11/27/2025,"Ruby, MongoDB, JavaScript, CI/CD, Machine Learning, REST APIs, Git",Associate Degree,51-200 employees,"Stock Options, Remote Work Stipend"
Product Manager,InnovateLab,"Atlanta, GA",Remote,Technology,108664,181419,5.0,11/27/2025,"Python, AWS, Java, Machine Learning, Go, Docker",Master's Degree,51-200 employees,"Dental, Vision, Annual Bonus"
Project Manager,CloudSystems,Remote,Contract,Technology,109337,180013,4.0,11/27/2025,"Machine Learning, JavaScript, Kubernetes",Bachelor's Degree,51-200 employees,"Dental, Vision, Annual Bonus"
Machine Learning Engineer,TechCorp,"New York, NY",Full-time,Technology,107485,181694,4.0,11/27/2025,"Ruby, AWS, SQL, TensorFlow",High School,1000+ employees,"Stock Options, Remote Work Stipend"
Solutions Architect,InnovateLab,"New York, NY",Remote,Technology,106239,182583,5.0,11/27/2025,"JavaScript, Agile, Kubernetes, React",Master's Degree,1-50 employees,"Dental, Vision, Annual Bonus"
Machine Learning Engineer,TechCorp,"San Francisco, CA",Full-time,Technology,112535,176131,2.0,11/27/2025,"TypeScript, Kubernetes, Go, Git, SQL, Node.js, TensorFlow",Unspecified,501-1000 employees,"Dental, Vision, Annual Bonus"
Software Engineer,DataInc,"San Francisco, CA",Contract,Technology,105618,182763,2.0,11/27/2025,"Ruby, REST APIs, AWS, CI/CD, TypeScript, Agile, JavaScript",Bachelor's Degree,501-1000 employees,"Dental, Vision, Annual Bonus"
Frontend Developer,WebDynamics,"New York, NY",Remote,Technology,109745,178290,4.0,11/27/2025,"Go, MongoDB, CI/CD, Machine Learning, Agile, Java",Bachelor's Degree,1000+ employees,"Stock Options, Remote Work Stipend"
Security Engineer,EnterpriseHub,"London, UK",Contract,Technology,100122,187098,5.0,11/27/2025,"Node.js, TensorFlow, TypeScript, SQL",PhD,1-50 employees,"Stock Options, Remote Work Stipend"
Lead Engineer,EnterpriseHub,"Austin, TX",Contract,Technology,102627,184145,10.0,11/27/2025,"Agile, Machine Learning, Python, React",PhD,1000+ employees,"Stock Options, Remote Work Stipend"
Product Manager,StartupXYZ,"Austin, TX",Part-time,Technology,102940,181529,4.0,11/27/2025,"AWS, MongoDB, TypeScript",PhD,1-50 employees,"Dental, Vision, Annual Bonus"
Project Manager,InnovateLab,"Toronto, Canada",Remote,Technology,100562,183103,5.0,11/27/2025,"JavaScript, REST APIs, Machine Learning, React",Master's Degree,501-1000 employees,"Dental, Vision, Annual Bonus"
Software Engineer,DigitalWorks,"London, UK",Full-time,Technology,96309,187356,3.0,11/27/2025,"Node.js, Machine Learning, SQL, Docker, Go",Associate Degree,501-1000 employees,"Dental, Vision, Annual Bonus"
Solutions Architect,DataInc,"Seattle, WA",Remote,Technology,110280,173023,4.0,11/27/2025,"MongoDB, React, TensorFlow",High School,1-50 employees,"Stock Options, Remote Work Stipend"
Frontend Developer,InnovateLab,"Seattle, WA",Remote,Technology,95592,185558,2.0,11/27/2025,"Git, MongoDB, Go, Agile, React, Ruby, Machine Learning",Associate Degree,1-50 employees,"Dental, Vision, Annual Bonus"
Project Manager,AI Solutions,"Toronto, Canada",Contract,Technology,98217,182780,3.0,11/27/2025,"TensorFlow, Git, Machine Learning, Python",Unspecified,1000+ employees,"Health Insurance, 401(k), Unlimited PTO"
Machine Learning Engineer,AI Solutions,"New York, NY",Remote,Technology,98780,181433,2.0,11/27/2025,"SQL, AWS, REST APIs, Kubernetes, Machine Learning",PhD,501-1000 employees,"Stock Options, Remote Work Stipend"
Project Manager,WebDynamics,Remote,Full-time,Technology,95141,182407,4.0,11/27/2025,"Python, Java, TensorFlow, Git, Go, CI/CD, JavaScript",PhD,1-50 employees,"Health Insurance, 401(k), Unlimited PTO"
QA Engineer,CodeFactory,"New York, NY",Full-time,Technology,100203,174792,3.0,11/27/2025,"Python, MongoDB, Machine Learning, Node.js, JavaScript, Ruby",Associate Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO"
QA Engineer,InnovateLab,"Seattle, WA",Full-time,Technology,94838,179568,5.0,11/27/2025,"Git, TypeScript, Go",PhD,1000+ employees,"Dental, Vision, Annual Bonus"
Security Engineer,StartupXYZ,"New York, NY",Contract,Technology,98214,176117,2.0,11/27/2025,"Git, Ruby, Machine Learning, Kubernetes, Agile, SQL",High School,1000+ employees,"Dental, Vision, Annual Bonus"
Product Manager,CodeFactory,"Denver, CO",Contract,Technology,97454,171881,4.0,11/27/2025,"Machine Learning, Git, REST APIs, Node.js",Bachelor's Degree,201-500 employees,"Stock Options, Remote Work Stipend"
Technical Lead,DigitalWorks,"Boston, MA",Contract,Technology,98508,156486,8.0,11/27/2025,"Agile, Go, Node.js",PhD,1-50 employees,"Dental, Vision, Annual Bonus"
Technical Lead,DataInc,"Denver, CO",Part-time,Technology,87016,161933,8.0,11/27/2025,"Java, Go, JavaScript, Python, Agile",Master's Degree,201-500 employees,"Dental, Vision, Annual Bonus"
Technical Lead,StartupXYZ,"Chicago, IL",Remote,Technology,95342,151737,7.0,11/27/2025,"TensorFlow, Agile, JavaScript, Ruby, Docker, Node.js, Git",Unspecified,51-200 employees,"Dental, Vision, Annual Bonus"
Technical Lead,CodeFactory,"Toronto, Canada",Contract,Technology,94578,151875,9.0,11/27/2025,"Ruby, JavaScript, TensorFlow, Docker, TypeScript, React, CI/CD",High School,501-1000 employees,"Stock Options, Remote Work Stipend"
Software Engineer,DataInc,"Chicago, IL",Remote,Technology,88855,154571,5.0,11/27/2025,"Ruby, SQL, MongoDB",Bachelor's Degree,1000+ employees,"Stock Options, Remote Work Stipend"
Technical Lead,CodeFactory,"Austin, TX",Full-time,Technology,90287,150531,8.0,11/27/2025,"SQL, CI/CD, Go, Java",Master's Degree,51-200 employees,"Stock Options, Remote Work Stipend"
Technical Lead,TechCorp,"Toronto, Canada",Remote,Technology,98084,141986,7.0,11/27/2025,"Python, JavaScript, Git, Docker, Java, Node.js, Ruby",Master's Degree,1-50 employees,"Dental, Vision, Annual Bonus"
DevOps Engineer,AI Solutions,Remote,Part-time,Technology,85048,154593,3.0,11/27/2025,"TypeScript, CI/CD, Git",Master's Degree,1-50 employees,"Dental, Vision, Annual Bonus"
QA Engineer,WebDynamics,"Chicago, IL",Contract,Technology,84367,154954,2.0,11/27/2025,"JavaScript, Python, Docker, REST APIs",PhD,1-50 employees,"Health Insurance, 401(k), Unlimited PTO"
Data Scientist,StartupXYZ,"Austin, TX",Part-time,Technology,85820,152915,2.0,11/27/2025,"Java, REST APIs, Git, AWS, Node.js, Machine Learning",Bachelor's Degree,201-500 employees,"Dental, Vision, Annual Bonus"
Full Stack Developer,EnterpriseHub,"Atlanta, GA",Remote,Technology,89996,148405,4.0,11/27/2025,"Kubernetes, REST APIs, Git, Java, MongoDB, CI/CD",Bachelor's Degree,51-200 employees,"Dental, Vision, Annual Bonus"
Machine Learning Engineer,AI Solutions,"Austin, TX",Remote,Technology,88628,149577,4.0,11/27/2025,"Ruby, Docker, Agile, Python, TensorFlow",High School,1-50 employees,"Dental, Vision, Annual Bonus"
Full Stack Developer,TechCorp,"Toronto, Canada",Remote,Technology,83894,154229,2.0,11/27/2025,"AWS, Node.js, TensorFlow, Ruby",Bachelor's Degree,501-1000 employees,"Health Insurance, 401(k), Unlimited PTO"
Solutions Architect,WebDynamics,"Chicago, IL",Part-time,Technology,86172,151938,3.0,11/27/2025,"Python, Node.js, MongoDB, SQL, REST APIs",Master's Degree,501-1000 employees,"Health Insurance, 401(k), Unlimited PTO"
Data Scientist,DataInc,Remote,Full-time,Technology,89618,148172,2.0,11/27/2025,"Docker, Python, REST APIs, Node.js, Java",High School,51-200 employees,"Stock Options, Remote Work Stipend"
Technical Lead,WebDynamics,"Austin, TX",Remote,Technology,94029,143622,6.0,11/27/2025,"Python, JavaScript, Git, Machine Learning, Go, Node.js, CI/CD",Bachelor's Degree,501-1000 employees,"Stock Options, Remote Work Stipend"
Solutions Architect,CodeFactory,"Denver, CO",Part-time,Technology,87970,149586,4.0,11/27/2025,"Agile, TypeScript, Docker, Git, Java",Associate Degree,51-200 employees,"Dental, Vision, Annual Bonus"
QA Engineer,WebDynamics,"Boston, MA",Part-time,Technology,88400,149067,4.0,11/27/2025,"Machine Learning, AWS, Docker, Ruby, Kubernetes",Bachelor's Degree,1-50 employees,"Stock Options, Remote Work Stipend"
Frontend Developer,DataInc,"Atlanta, GA",Part-time,Technology,86006,151265,2.0,11/27/2025,"Git, TypeScript, Docker, Go",High School,1-50 employees,"Health Insurance, 401(k), Unlimited PTO"
Technical Lead,TechCorp,"Atlanta, GA",Contract,Technology,81347,154512,6.0,11/27/2025,"React, Kubernetes, Docker",Associate Degree,1000+ employees,"Dental, Vision, Annual Bonus"
Full Stack Developer,CloudSystems,"Austin, TX",Contract,Technology,89373,144216,3.0,11/27/2025,"TypeScript, SQL, Node.js, Agile, Git, REST APIs, Machine Learning",Unspecified,501-1000 employees,"Stock Options, Remote Work Stipend"
DevOps Engineer,AI Solutions,Remote,Contract,Technology,88680,144458,3.0,11/27/2025,"Ruby, Python, AWS, Node.js, SQL, Git",Bachelor's Degree,1-50 employees,"Dental, Vision, Annual Bonus"
Solutions Architect,WebDynamics,"Austin, TX",Full-time,Technology,83262,148613,3.0,11/27/2025,"Go, React, TensorFlow, Ruby, Java, Agile, TypeScript",Master's Degree,1000+ employees,"Health Insurance, 401(k), Unlimited PTO"
Software Engineer,StartupXYZ,"Toronto, Canada",Remote,Technology,89594,142259,3.0,11/27/2025,"Agile, Java, Git, Docker",High School,501-1000 employees,"Dental, Vision, Annual Bonus"
Security Engineer,InnovateLab,"Berlin, Germany",Remote,Technology,88820,142920,2.0,11/27/2025,"Agile, Go, Docker, CI/CD",Master's Degree,1000+ employees,"Dental, Vision, Annual Bonus"
QA Engineer,DigitalWorks,"Boston, MA",Contract,Technology,79139,151839,5.0,11/27/2025,"TypeScript, React, REST APIs",Associate Degree,1-50 employees,"Stock Options, Remote Work Stipend"
Machine Learning Engineer,WebDynamics,"Berlin, Germany",Remote,Technology,88302,142198,5.0,11/27/2025,"Java, Kubernetes, TypeScript, Ruby",Associate Degree,201-500 employees,"Stock Options, Remote Work Stipend"
QA Engineer,CloudSystems,"Toronto, Canada",Remote,Technology,89744,140745,2.0,11/27/2025,"TensorFlow, Python, REST APIs",High School,1000+ employees,"Stock Options, Remote Work Stipend"
UX Designer,DataInc,"New York, NY",Part-time,Technology,84041,144503,2.0,11/27/2025,"Kubernetes, AWS, Agile, Python",PhD,501-1000 employees,"Dental, Vision, Annual Bonus"
Technical Lead,AI Solutions,"Boston, MA",Full-time,Technology,86121,141827,10.0,11/27/2025,"React, Machine Learning, Go, SQL",Associate Degree,1-50 employees,"Dental, Vision, Annual Bonus"
Data Scientist,TechCorp,"Denver, CO",Full-time,Technology,88708,139205,4.0,11/27/2025,"Python, Git, Agile, REST APIs, React, SQL, MongoDB",High School,1000+ employees,"Health Insurance, 401(k), Unlimited PTO"
Security Engineer,EnterpriseHub,"Chicago, IL",Remote,Technology,78178,148687,4.0,11/27/2025,"TypeScript, CI/CD, Python, Docker, Go, Ruby, React",PhD,501-1000 employees,"Health Insurance, 401(k), Unlimited PTO"
Junior Developer,DigitalWorks,"London, UK",Part-time,Technology,91423,134486,2.0,11/27/2025,"Go, Python, CI/CD",Associate Degree,501-1000 employees,"Health Insurance, 401(k), Unlimited PTO"
Backend Developer,CodeFactory,"Atlanta, GA",Contract,Technology,73996,150993,3.0,11/27/2025,"Docker, REST APIs, AWS, Java, Python, TypeScript",Master's Degree,201-500 employees,"Stock Options, Remote Work Stipend"
Full Stack Developer,EnterpriseHub,Remote,Remote,Technology,79809,144949,4.0,11/27/2025,"Go, Docker, Machine Learning, Python, Kubernetes, React, AWS",PhD,1-50 employees,"Health Insurance, 401(k), Unlimited PTO"
Software Engineer,StartupXYZ,"Austin, TX",Full-time,Technology,86256,138322,3.0,11/27/2025,"AWS, Machine Learning, Docker, JavaScript, TypeScript, Java, Node.js",Master's Degree,201-500 employees,"Health Insurance, 401(k), Unlimited PTO"
Machine Learning Engineer,AI Solutions,"Austin, TX",Part-time,Technology,89865,134690,3.0,11/27/2025,"Python, TensorFlow, MongoDB, AWS, Go, JavaScript, TypeScript",PhD,1-50 employees,"Health Insurance, 401(k), Unlimited PTO"
Data Scientist,CloudSystems,"Austin, TX",Part-time,Technology,74350,150171,5.0,11/27/2025,"MongoDB, Node.js, REST APIs",Bachelor's Degree,201-500 employees,"Health Insurance, 401(k), Unlimited PTO"
Frontend Developer,AI Solutions,"Boston, MA",Contract,Technology,76754,147738,2.0,11/27/2025,"Node.js, TypeScript, Machine Learning, Python, Go, Agile, Ruby",High School,1000+ employees,"Dental, Vision, Annual Bonus"
System Administrator,DataInc,"London, UK",Part-time,Technology,86676,137346,2.0,11/27/2025,"MongoDB, Machine Learning, SQL, Ruby, JavaScript, Go, Kubernetes",Associate Degree,501-1000 employees,"Stock Options, Remote Work Stipend"
Backend Developer,InnovateLab,"Austin, TX",Remote,Technology,71897,152018,2.0,11/27/2025,"Ruby, JavaScript, Agile, SQL, CI/CD",Master's Degree,1000+ employees,"Health Insurance, 401(k), Unlimited PTO"
Full Stack Developer,InnovateLab,"Boston, MA",Part-time,Technology,75303,148537,4.0,11/27/2025,"Kubernetes, Docker, Node.js, Git",Associate Degree,51-200 employees,"Stock Options, Remote Work Stipend"
Junior Developer,CodeFactory,"Seattle, WA",Contract,Technology,88329,135378,0.0,11/27/2025,"SQL, Machine Learning, TypeScript, JavaScript, CI/CD, Docker",Unspecified,1-50 employees,"Health Insurance, 401(k), Unlimited PTO"
